(6.898007063678425, 12.660762540402523)
(6.941791703635173, 12.644969394924125)
(6.991729574992254, 12.646709649563352)
(6.49907487573604, 11.073296737857124)
(6.55600753214071, 11.066774765167171)
(6.614830268622882, 11.066402133410389)
(6.6716665702502995, 11.060599197032328)
(6.728468069480401, 11.055148720115469)
(6.78523259160047, 11.050050101633529)
(6.849096336585038, 11.06865088664912)
(6.8986417585837705, 11.040905046586882)
(6.855725744554235, 10.697142827820432)
(6.858779132828925, 10.499257956610585)
(6.862394959224087, 10.295219881998545)
(6.8650635948522405, 10.079127442371385)
(6.870154529665461, 9.862739266801984)
(6.873034688269208, 9.628361459066982)
(6.877038903446916, 9.387761932616394)
(6.88227409050846, 9.140937365063447)
(6.8859627254241556, 8.876023361688514)
(6.891234836141955, 8.604849104298966)
(6.896825089675604, 8.321470073652199)
(7.056866296587817, 8.710679124611362)
(7.011499677988281, 8.183091146134743)
(7.0559476072725955, 8.048633396082495)
(6.904377416164449, 6.9579059378329955)
(6.971739400483315, 6.894372336255646)
(7.052559981700613, 6.897079673305189)
(7.132129170652103, 6.894280025423248)
(7.212738416386513, 6.897960722033016)
(7.2921600583994675, 6.896118288731865)
(7.404321326034942, 7.087288623582824)
(7.451808733171687, 6.899877809239523)
(7.5310050788638145, 6.899461171052959)
(7.486871598724875, 6.090986655042668)
(7.5069308035718105, 5.655997405517086)
(7.528581802585361, 5.196603667823107)
(7.551435102374388, 4.70673892972399)
(7.576022361492836, 4.186382338931349)
(7.5887391626775695, 3.5204134149007125)
(7.687099040514908, 3.520918225629778)
(7.785383766255111, 3.522003224369559)
(7.884228093907072, 3.529737618795366)
(7.982316945001545, 3.5319840104430824)
(8.080320388302402, 3.534807751726497)
(8.178235028424586, 3.5382079247986304)
(8.2755607036114, 3.5361003320641586)
(8.373322977022562, 3.5406477486272614)
(8.470986457217519, 3.5457708352452535)
(8.568156956840742, 3.5453737824736002)
(8.665647791461298, 3.5516373137806987)
(8.938201906123393, 6.898605191781172)
(9.015470672853851, 6.894779126975809)
(9.092760305441802, 6.89140069858958)
(9.170068354501943, 6.8884738172363456)
(9.24721429793172, 6.87989385393243)
(9.324586635575953, 6.877864671620042)
(9.401969467867728, 6.876285595974913)
(9.479288925406927, 6.869055496456882)
(9.556684612391123, 6.8622730527895435)
(9.634154213778823, 6.862043397210224)
(9.711659077743356, 6.856161915350787)
(9.789232334472885, 6.85073264440746)
(9.847748128872032, 7.9442187248925595)
(9.850034863642781, 10.91117443595301)
(9.705450529156316, 17.74563767906487)
(9.719609465508812, 17.746089493016072)
(9.733765460733473, 17.746625566968643)
(9.747918202003127, 17.74724159508284)
(9.759514039237155, 17.796702942778445)
(9.773374963379622, 17.79746956818872)
(9.787230977453628, 17.798320141174532)
(9.801082352223219, 17.799243211980087)
(9.8149277521178, 17.800252071001392)
(9.829263247977948, 17.79525861801063)
(9.843131649762249, 17.796427908476335)
(9.856992565169183, 17.79768283891346)
(9.870846167731173, 17.799016001919327)
(9.885329373546101, 17.79436008576707)
(9.899201719848728, 17.795859087453106)
(9.91306560431158, 17.797434495122584)
(9.927663114271514, 17.79303624505396)
(9.941542215616574, 17.7947831764924)
(9.955411731938469, 17.796604666030397)
(9.970118580134796, 17.792469248497902)
(9.984000319769082, 17.794462436891347)
(9.997870614193214, 17.79653374745891)
(10.012683563754065, 17.792653976732446)
(10.026563707624627, 17.79489334491407)
(10.041455068683087, 17.79119649344667)
(10.055343405349282, 17.793602074346126)
(10.070312099876467, 17.790082869812842)
(10.084205552201453, 17.79266101711574)
(10.09924930636625, 17.789321455970203)
(10.11314707352205, 17.792065829753614)
(10.128262881478982, 17.788911388950822)
(10.142162372566476, 17.791825236560953)
(10.157348600147321, 17.788854106381166)
(10.171249052285365, 17.79193202167832)
(10.186503077547071, 17.789147278892237)
(10.20040075629207, 17.792397338091053)
(10.215721057193454, 17.789796908351075)
(10.23109053047544, 17.787294820132217)
(10.244998702511058, 17.790802426740505)
(10.260430084158823, 17.78849027864664)
(10.275909703149383, 17.78627425209502)
(10.289823022766706, 17.790042825669335)
(10.305361342925986, 17.78801744216608)
(10.320945271088034, 17.786092392022013)
(10.336574565590205, 17.784266763301382)
(10.350497890111368, 17.78839055094766)
(10.366181139116833, 17.786757835042536)
(10.381907329217503, 17.78522753413845)
(10.397676807241206, 17.78379691027531)
(10.411601962593084, 17.788275676973672)
(10.427420684978943, 17.787039904027623)
(10.443279090958423, 17.785910144912734)
(10.45917747425746, 17.7848838833959)
(10.475116746343534, 17.783957045265367)
(10.491092623753458, 17.783140411389347)
(10.507107102790426, 17.78242674369922)
(10.523158211038648, 17.781820045949587)
(10.53924700204671, 17.781316032245044)
(10.555371304270123, 17.7809191322436)
(10.571529195622695, 17.780632848959094)
(10.587722990071661, 17.78044979618624)
(10.603950804697323, 17.780373483586658)
(10.620210861087578, 17.780406949322778)
(10.636504898630411, 17.78054462055534)
(10.652828272568915, 17.78079633959093)
(10.669183478666985, 17.78115477618126)
(10.685569169891519, 17.78162184208793)
(10.701984734947448, 17.78219768880752)
(10.720942459034076, 17.777324169722554)
(10.73744654585144, 17.77813641372593)
(10.753977851716483, 17.779059554581792)
(10.7705358470338, 17.7800935065953)
(10.789762781741686, 17.775737277807863)
